招待状
拝啓　　　
半世紀　　　　　　
勝手ながら　
つきましては　
見会を行いたいと思います。
察する　    
１
にべもなく　
意地を張る　
次第に　　　
疎遠　　　　
儀式　　　　
勤務先　　　
合弁　　　　
家庭円満　　
証拠　　　　
保障　　　　
要件　　　　
目を奪われる　
望みを叶える　
唐突　　　　　
好景気　　　　
都心　　　　　
家庭崩壊　　　
景気　　　　　
頭を下げる　　
なかば　　　　　
購入　　　　　
昇進　　　　　
致命傷　　　　
転勤　　　　　
身を乗り出す　　
知らん顔　　　
迫る　　　　　
故郷　　　　　
立ち寄る　　　
目と鼻の先　　有名な美術館は大学の目と鼻の先にある。
迷惑をかける　風邪を引いて会社を休み、皆に迷惑をかけた。
近況　　　　留学している兄から近況を知らせるメールが届いた。
愚痴　　　　最近ストレスが多く、つい愚痴を言ってしまう。
縁を切る　　彼は父親と不仲で、とうとう縁を切ると言われたらしい。
中堅　　　　中堅の作家の小説を読んでいる。
身寄り　　　身寄りのない子供を引き取ることにした。
藁にもすがる　　どうしていいかわからなくて、藁にもすがる気持ちで彼に電話した。
ありありと　　　子供時代の様子がありありと頭に浮かんできた。
繁華街　　　　　高校の制服を着て繁華街をうろうろしていたら警察に呼び止められた。
あたりまえ　　　悪いことをしたら、謝るのはあたりまえのことだが、これが結構難しい。
途方にくれる　　数学の問題が解けなくて途方にくれていたら、先輩が助けてくれた。
２
似顔絵　　　イタリアの広場ではよく似顔絵を描いている人を見かける。
封切館　　　オリオン座は新しい映画の封切館だった。
支離滅裂　　あの人に言っていることは支離滅裂だ。酔っているのかもしれない。
うんざりする　毎日、同じ仕事ばかりやらされて、うんざりする。
記憶　　　　子供のころの記憶ははっきりしていない。
苦労　      若い頃はお金がなくて 苦労が多かった。
一回り　　　彼女の恋人は一回りも下だというが、話が合うのだろうか。
気を遣う　　後輩はいつも先輩に気を遣っている。　
胸がときめく　素敵な人と会って胸がときめいた。
はしゃぐ　　　彼女は子供のように雪を見てはしゃいだ。
先代　　　　　もう二十年前になるが、先代には世話になった。
沈黙　　　　　男は長い間、沈黙していたが、とうとう話し始めた。
問いただす　　彼は彼女にかぎがある場所を問いただした。
不倫　　　　　彼と彼女は不倫の関係にある。
踏み切る　　　新しい商品の開発に踏み切った。
わきまえる　　場所をわきまえてふるまわなくてはいけない。
怒り　　　　　彼は社会に対する怒りを詩で表現した。
嫉妬　　　　　妻は夫の会社で秘書をしている若い女性に嫉妬しているようだ。
穏やか　　　　父は穏やかな人でめってに怒ることはない。
表情　　　　　感情を表情に出さない人は何を考えているかよくわからない。
事情　　　　　事情があって大学を辞めることになった。
口を挟む　　　他人の問題に口を挟まない方がいい。　
ままごと　　　子供のころはよくままごとをして遊んだ。
復讐　　　　　彼は妹を殺され、今は犯人に復讐するためだけに生きている。
見栄を張る　　見栄を張って、お金もないのにみんなにおごると言ってしまった。
説教　　　　　上司は説教ばかりするのであまり一緒にいたくない。
地位　　　　　彼は地位が高くても人間として優れているとはいえないだろう。
資格　　　　　たくさん資格を取れば就職しやすい。
いかにも　　　兄はいかにも疲れているという様子でソファーに座った。
緊張　　　　　今日はプレゼンテーションがあるので朝から緊張している。
３
妙　　　　　　昨日は朝から妙な出来事が続いた。
由来　　　　　言葉の由来を調べるとその意味がよく分かる。
生産地　　　　野菜を買うときその生産地を確認する人が多い。　
栄える　　　　この村は昔は漁港として栄えた。
範囲　　　　　次の試験は範囲が広くて大変だ。
佇む　　　　　彼女は一人、駅の入り口に佇んでいた。
繁栄　　　　　新しい会社の繁栄を願って乾杯した。
建設会社　　　土木工学を専攻したので建設会社に勤めたい。
別居生活　　　しばらくの別居生活の後、二人は離婚することになった。
勝手　　　　　勝手に人の部屋に入って来ないで下さい。
感傷的　　　　失恋のことを思うと知らない間に感傷的になってしまう。
意地　　　　　意地でも一級に合格しようと頑張っている。
見栄　　　　　見栄で派手な結婚式をしても疲れるだけだ。
無責任　　　　引き受けた仕事を途中でやめるのは無責任だ。　
４
老いる　　　　老いてからやっと時間ができたが、今度は遊ぶ体力がない。　
技術的　　　　この機械は技術的にはすばらしいがデザインが悪い。
程度　　　　　彼女は彼の秘密をどの程度知っているのか分からない。
使い途　　　　お金の使い途を考えるのは楽しい。　
とりあえず　　プロジェクトが成功したので、とりあえず、ビールで乾杯した。
